trade_date,underlying,spot,r,q,option_type,maturity_date,strike,market_price,ttm,iv,model_price,error,delta,gamma,vega,theta,rho
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,300.00000000,133.32500000,0.24931507,0.63140040,133.32500130,0.00000130,0.89959748,0.00131939,37.18905257,-56.68321470,61.66550640
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,295.00000000,137.70000000,0.24931507,0.63770717,137.70000195,0.00000195,0.90700359,0.00123485,35.15373232,-54.50245045,61.35607982
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,290.00000000,142.60000000,0.24931507,0.65855106,142.59999844,-0.00000156,0.91034729,0.00116374,34.21223814,-54.59335433,60.48718985
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,285.00000000,147.30000000,0.24931507,0.67358409,147.29999900,-0.00000100,0.91497743,0.00109360,32.88434279,-53.72470806,59.80387695
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,280.00000000,151.20000000,0.24931507,0.66237305,151.20000077,0.00000077,0.92551127,0.00100621,29.75283435,-48.84711262,59.94284368
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,275.00000000,155.95000000,0.24931507,0.67766328,155.95000200,0.00000200,0.92940722,0.00094386,28.55335162,-48.00903705,59.16961080
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,270.00000000,160.30000000,0.24931507,0.67794417,160.29999820,-0.00000180,0.93638630,0.00087048,26.34459100,-44.96789335,58.82136711
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,265.00000000,164.95000000,0.24931507,0.68831806,164.95000040,0.00000040,0.94081703,0.00081035,24.89990437,-43.41409526,58.12948332
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,260.00000000,169.67500000,0.24931507,0.70124511,169.67499901,-0.00000099,0.94449582,0.00075624,23.67372356,-42.21233027,57.33957458
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,255.00000000,174.70000000,0.24931507,0.72693858,174.69999965,-0.00000035,0.94558223,0.00071820,23.30679052,-42.72020960,56.20137943
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,250.00000000,179.27500000,0.24931507,0.73300976,179.27500021,0.00000021,0.95025103,0.00066326,21.70370394,-40.54656916,55.55331062
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,245.00000000,183.00000000,0.24931507,0.69224883,183.00000102,0.00000102,0.96260785,0.00055769,17.23410758,-32.62555289,55.92822700
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,240.00000000,188.92500000,0.24931507,0.76704311,188.92499968,-0.00000032,0.95518997,0.00058288,19.95893553,-39.05076843,53.66846631
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,235.00000000,193.67500000,0.24931507,0.78016492,193.67499903,-0.00000097,0.95813112,0.00054251,18.89428108,-37.77428497,52.79450485
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,230.00000000,198.17500000,0.24931507,0.77858078,198.17500096,0.00000096,0.96306729,0.00049086,17.06086816,-34.75798608,52.19334134
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,225.00000000,203.20000000,0.24931507,0.80668794,203.20000073,0.00000073,0.96355534,0.00046863,16.87624060,-35.23413322,50.99202065
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,220.00000000,207.67500000,0.24931507,0.80069767,207.67500069,0.00000069,0.96856778,0.00041803,14.94224023,-31.83449611,50.40513624
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,215.00000000,213.00000000,0.24931507,0.84945352,212.99999900,-0.00000100,0.96646693,0.00041564,15.76144405,-34.45013884,48.85589920
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,210.00000000,217.62500000,0.24931507,0.85281284,217.62500061,0.00000061,0.97001065,0.00037751,14.37200947,-32.05875335,48.07667120
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,205.00000000,222.65000000,0.24931507,0.88337481,222.64999942,-0.00000058,0.97031909,0.00036134,14.24928018,-32.53240523,46.85640350
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,200.00000000,226.82500000,0.24931507,0.84787742,226.82499949,-0.00000051,0.97750100,0.00029858,11.30123331,-26.46104969,46.57318781
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,195.00000000,232.32500000,0.24931507,0.91901570,232.32499978,-0.00000022,0.97373815,0.00031366,12.86827338,-30.68651168,44.80498220
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,190.00000000,236.85000000,0.24931507,0.91009974,236.85000027,0.00000027,0.97781073,0.00027493,11.16985601,-27.24781444,44.10647951
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,185.00000000,241.75000000,0.24931507,0.93218773,241.75000041,0.00000041,0.97887517,0.00025749,10.71539937,-26.72044901,42.99713157
2025-09-19,TSLA,423.14999390,0.03878000,0.00000000,C,2025-12-19,180.00000000,245.92500000,0.24931507,0.87289632,245.92500042,0.00000042,0.98614135,0.00019181,7.47442033,-19.73000408,42.72280585
